experiment_name,k,steps,samples,alpha,g_obj,fw_obj,g_time,fw_time,dataset_name,p,ratio,speedupx
sniper_k20_a0.2_m50,20,1000,50,0.2,100.00769273558944,98.65228029426954,0.07905697822570801,1.2710978984832764,residential,103,0.9864469181895489,0.0621958216751376
sniper_k21_a0.2_m50,21,1000,50,0.2,100.28554032277572,99.71650912718778,0.08320951461791992,1.2899539470672607,residential,103,0.994325889916368,0.06450580255760185
sniper_k22_a0.2_m50,22,1000,50,0.2,100.53867212288495,99.89569140140523,0.08806514739990234,1.287914752960205,residential,103,0.9936046427916432,0.06837808728993063
sniper_k23_a0.2_m50,23,1000,50,0.2,100.78280427943174,100.06707115793552,0.09319663047790527,1.2801971435546875,residential,103,0.9928982614979458,0.07279865522831024
sniper_k24_a0.2_m50,24,1000,50,0.2,101.01317241913458,99.84810224874327,0.0988461971282959,1.2775843143463135,residential,103,0.9884661560221367,0.07736960764023733
sniper_k25_a0.2_m50,25,1000,50,0.2,101.23344190403819,100.58190226693756,0.1030733585357666,1.2896931171417236,residential,103,0.9935639880967572,0.07992084098595677
sniper_k4_a0.2_m50,4,1000,50,0.2,61.82874338194303,61.82037839519832,0.06273579597473145,8.900547981262207,secom,478,0.9998647071525774,0.007048531855207722
sniper_k9_a0.2_m50,9,1000,50,0.2,103.99383489503877,99.99794898947161,0.1520073413848877,8.97972822189331,secom,478,0.9615757423543403,0.01692783318478185
sniper_k14_a0.2_m50,14,1000,50,0.2,135.19153146700742,128.49540712045274,0.25320005416870117,8.99986720085144,secom,478,0.9504693506028606,0.028133754478593523
sniper_k19_a0.2_m50,19,1000,50,0.2,161.33817613119808,151.41938458185155,0.3737809658050537,8.690759420394897,secom,478,0.9385217325050166,0.04300901080380724
sniper_k23_a0.2_m50,23,1000,50,0.2,179.53000479189274,174.11590206559657,0.4775245189666748,8.602487087249756,secom,478,0.9698429088075162,0.055510053560492004
sniper_k28_a0.2_m50,28,1000,50,0.2,200.43865765105235,196.2292489339142,0.6290185451507568,8.60937213897705,secom,478,0.9789990176223071,0.07306206945138459
sniper_k33_a0.2_m50,33,1000,50,0.2,219.2468008128859,215.12296777341058,0.8037393093109131,8.611451625823975,secom,478,0.9811909089474251,0.09333377742036708
sniper_k38_a0.2_m50,38,1000,50,0.2,236.40797199341895,227.24167296645822,1.011108636856079,8.520028591156006,secom,478,0.9612267769581988,0.11867432439201367
sniper_k43_a0.2_m50,43,1000,50,0.2,252.2170563833518,245.84292125963796,1.2499797344207764,8.576410055160522,secom,478,0.9747275810164654,0.14574626520669326
sniper_k47_a0.2_m50,47,1000,50,0.2,264.43594356998204,260.6103930856657,1.4708130359649658,8.628974676132202,secom,478,0.9855331675691662,0.1704504986013279
sniper_k52_a0.2_m50,52,1040,50,0.2,279.1902309933383,274.2826188327275,1.7702579498291016,8.989018678665161,secom,478,0.9824219775056245,0.19693561812600202
sniper_k57_a0.2_m50,57,1140,50,0.2,293.36948539121596,288.0150983734269,2.1192963123321533,9.748845338821411,secom,478,0.9817486572925305,0.21738946907822893
sniper_k62_a0.2_m50,62,1240,50,0.2,306.63569638157657,301.45272796280176,2.525303840637207,10.535933494567871,secom,478,0.983097309021957,0.23968486911380052
sniper_k66_a0.2_m50,66,1320,50,0.2,316.6690858846085,312.16310391772146,2.862656593322754,11.164431095123291,secom,478,0.9857706919691903,0.2564086399864283
